starttime,Survey start time,,,,
20,39,DATETIME20,,,
,,,,,
endtime,Survey end time,,,,
40,59,DATETIME20,,,
,,,,,
QCountry,Country,,,,
129,131,F3.0,Selected: 1,United States of America,
129,131,F3.0,Selected: 2,Canada,
129,131,F3.0,Selected: 3,Afghanistan,
129,131,F3.0,Selected: 4,Albania,
129,131,F3.0,Selected: 5,Algeria,
129,131,F3.0,Selected: 6,Andorra,
129,131,F3.0,Selected: 7,Angola,
129,131,F3.0,Selected: 8,Antigua and Barbuda,
129,131,F3.0,Selected: 9,Argentina,
129,131,F3.0,Selected: 10,Armenia,
129,131,F3.0,Selected: 11,Australia,
129,131,F3.0,Selected: 12,Austria,
129,131,F3.0,Selected: 13,Azerbaijan,
129,131,F3.0,Selected: 14,Bahamas,
129,131,F3.0,Selected: 15,Bahrain,
129,131,F3.0,Selected: 16,Bangladesh,
129,131,F3.0,Selected: 17,Barbados,
129,131,F3.0,Selected: 18,Belarus,
129,131,F3.0,Selected: 19,Belgium,
129,131,F3.0,Selected: 20,Belize,
129,131,F3.0,Selected: 21,Benin,
129,131,F3.0,Selected: 22,Bhutan,
129,131,F3.0,Selected: 23,Bolivia,
129,131,F3.0,Selected: 24,Bosnia and Herzegovina,
129,131,F3.0,Selected: 25,Botswana,
129,131,F3.0,Selected: 26,Brazil,
129,131,F3.0,Selected: 27,Brunei Darussalam,
129,131,F3.0,Selected: 28,Bulgaria,
129,131,F3.0,Selected: 29,Burkina Faso,
129,131,F3.0,Selected: 30,Burundi,
129,131,F3.0,Selected: 31,Cambodia,
129,131,F3.0,Selected: 32,Cameroon,
129,131,F3.0,Selected: 33,Cape Verde,
129,131,F3.0,Selected: 34,Central African Republic,
129,131,F3.0,Selected: 35,Chad,
129,131,F3.0,Selected: 36,Chile,
129,131,F3.0,Selected: 37,China,
129,131,F3.0,Selected: 38,Colombia,
129,131,F3.0,Selected: 39,Comoros,
129,131,F3.0,Selected: 40,Congo,
129,131,F3.0,Selected: 41,Costa Rica,
129,131,F3.0,Selected: 42,Croatia,
129,131,F3.0,Selected: 43,Cuba,
129,131,F3.0,Selected: 44,Cyprus,
129,131,F3.0,Selected: 45,Czech Republic,
129,131,F3.0,Selected: 46,Democratic People's Republic of Korea,
129,131,F3.0,Selected: 47,Democratic Republic of the Congo,
129,131,F3.0,Selected: 48,Denmark,
129,131,F3.0,Selected: 49,Djibouti,
129,131,F3.0,Selected: 50,Dominica,
129,131,F3.0,Selected: 51,Dominican Republic,
129,131,F3.0,Selected: 52,Ecuador,
129,131,F3.0,Selected: 53,Egypt,
129,131,F3.0,Selected: 54,El Salvador,
129,131,F3.0,Selected: 55,Equatorial Guinea,
129,131,F3.0,Selected: 56,Eritrea,
129,131,F3.0,Selected: 57,Estonia,
129,131,F3.0,Selected: 58,Ethiopia,
129,131,F3.0,Selected: 59,Fiji,
129,131,F3.0,Selected: 60,Finland,
129,131,F3.0,Selected: 61,France,
129,131,F3.0,Selected: 62,Gabon,
129,131,F3.0,Selected: 63,Gambia,
129,131,F3.0,Selected: 64,Georgia,
129,131,F3.0,Selected: 65,Germany,
129,131,F3.0,Selected: 66,Ghana,
129,131,F3.0,Selected: 67,Greece,
129,131,F3.0,Selected: 68,Grenada,
129,131,F3.0,Selected: 69,Guatemala,
